Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Timestamp (microseconds),angles,Seconds,Shoulder Pink X meters,Hand Pink X meters,Elbow X meters,Shoulder Pink Y meters,Hand Pink Y meters,Elbow Y meters
95.0,294.4041443,1029.639771,737.9413452,1221.47998,463.6506958,1207.5,1658965715566666.5,136.49617304811756,1.5666665,0.2815799264780485,0.7057966871376282,0.44345411354611847,-0.9847887559681162,-1.1682724228648307,-1.1549014095255847
96.0,295.1867676,1029.4823,737.9413452,1221.47998,463.6506958,1207.5,1658965715583333.2,136.33825783735597,1.58333325,0.28232845877808793,0.7057966871376282,0.44345411354611847,-0.9846381443905927,-1.1682724228648307,-1.1549014095255847
97.0,295.3858337,1029.175781,737.644043,1221.355957,463.6506958,1207.5,1658965715600000.0,136.23252648527793,1.6,0.2825188535768281,0.7055123353944935,0.44345411354611847,-0.9843449773304301,-1.1681538022954612,-1.1549014095255847
98.0,295.7027283,1029.17041,737.644043,1221.355957,463.5791321,1207.728149,1658965715616666.5,136.08067656288256,1.6166665,0.28282194427679586,0.7055123353944935,0.4433856671543993,-0.984339840290703,-1.1681538022954612,-1.155119620375839
99.0,295.6889038,1028.996094,737.9569702,1221.431396,463.9712524,1207.777832,1658965715633333.5,136.12008310490256,1.6333335,0.2828087219707619,0.7058116315140455,0.4437607067296984,-0.9841731174798519,-1.1682259551794638,-1.1551671391888652
100.0,296.3559875,1028.831421,737.9569702,1221.431396,463.9712524,1207.777832,1658965715650000.0,135.98019765561088,1.65,0.28344674756529736,0.7058116315140455,0.4437607067296984,-0.9840156176207953,-1.1682259551794638,-1.1551671391888652
101.0,296.9703674,1028.313599,738.0614624,1221.430298,463.9779968,1208.135254,1658965715666666.8,135.6611866113508,1.66666675,0.2840343651325803,0.7059115720432914,0.44376715734424615,-0.9835203519001465,-1.1682249050082443,-1.1555089919189652
102.0,297.1011353,1027.740356,738.428772,1221.331909,463.9779968,1208.135254,1658965715683333.5,135.52368996282698,1.6833335,0.28415943679471756,0.7062628816704319,0.44376715734424615,-0.9829720793132308,-1.1681308018241598,-1.1555089919189652
103.0,297.150238,1027.796753,738.428772,1221.331909,463.9779968,1208.135254,1658965715700000.0,135.52421523989142,1.7,0.2842064005855594,0.7062628816704319,0.44376715734424615,-0.9830260196650263,-1.1681308018241598,-1.1555089919189652
104.0,297.3598633,1027.54541,737.9103394,1221.401489,463.9779968,1208.135254,1658965715716666.8,135.46825481859014,1.71666675,0.2844068946265053,0.7057670319474638,0.44376715734424615,-0.9827856251433083,-1.1681973509256713,-1.1555089919189652
105.0,297.4179077,1027.481323,738.3811646,1221.39563,463.8325195,1208.250366,1658965715733333.2,135.37363655206516,1.73333325,0.2844624106177062,0.7062173480444578,0.4436280170222387,-0.9827243297672154,-1.1681917471431797,-1.1556190896506862
